Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
0.21;;;;;;;;;;;;;;;;;;;;;;;;;;16.1;;;;;;;;;;;;;;;;;;
0.62;0.0;0;0;0;7.5;93;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.46;;;;;15.1;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;57;0;50
0.81;0.0;0;0;0;7.5;93;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.46;;;;;15.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;57;0;42
1.21;0.0;0;0;0;7.5;93;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.46;;;;;15.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;57;0;41
1.62;0.0;0;0;0;7.5;93;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.46;;;;;14.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;57;0;70
2.03;0.0;0;0;0;7.5;93;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.46;;;;;14.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;57;0;50
2.41;0.0;0;0;0;7.5;93;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.46;;;;;14.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;57;0;42
2.82;0.0;0;0;0;7.5;93;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.46;;;;;14.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;57;0;41
3.22;0.0;0;0;0;7.5;93;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.46;;;;;14.3;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;57;0;44
3.64;0.0;0;0;0;7.5;93;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.46;;;;;15.5;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;57;0;50
